id,nickname,section,lat,long,soil_type.x,y_obs,d_obs,est_d_death,cause_death,sex,date_visit,age_days,type,degrees,species,distance,height,dsh,unique_id,soil_type.y,region,average_rainfall_mm,land_gertenbach1983,Domwoody_venter,Geomorph_venter,LTYPE_venter,dist2road,dist2river,dist2aw,feather_count,skull_found,skull_lat,skull_long,rocky_count,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_count_2017_buf,ele_groups_2017_buf,buffer_km,buffer_area_km2,ele_density_2017_buf,ele_pressure_2017,dung_e,near_river,near_aw,near_road,z_dung,z_river,z_aw,z_road,ele_pressure_proxy,hyena_density_2015_idw
B_2022_30,Airport,Skukuza,-24.97095,31.61932,Granite,2022,15-Apr-22,15-Apr-22,DCA,male,6-Jun-25,1148,carcass,129,Dichrostachys_cinerea,8.3,40,0.65,B_2022_30_2025,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,632.8392603,1640.893921,4457.464355,0,no,NA,NA,NA,0,0,0,0,0.04,NA,2.44,NA,NA,NA,NA,NA,554.5272274,578.2764215,709.1182847,477.5338774,22.31717172,21.95,22.24090909,22.91666667,32.1,33.8,dry,dry,386,41,10,314.1592654,1.228676161,380.4136073,NA,-1640.893921,-4457.464355,-632.8392603,NA,0.836929087,-0.26712529,-0.109854481,0.153316438,1.091078465
B_2022_30,Airport,Skukuza,-24.97095,31.61932,Granite,2022,15-Apr-22,15-Apr-22,DCA,male,6-Jun-25,1148,carcass,140,Dichrostachys_cinerea,8.4,28,0.44,B_2022_30_2025,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,632.8392603,1640.893921,4457.464355,0,no,NA,NA,NA,0,0,0,0,0.04,NA,2.44,NA,NA,NA,NA,NA,554.5272274,578.2764215,709.1182847,477.5338774,22.31717172,21.95,22.24090909,22.91666667,32.1,33.8,dry,dry,386,41,10,314.1592654,1.228676161,380.4136073,NA,-1640.893921,-4457.464355,-632.8392603,NA,0.836929087,-0.26712529,-0.109854481,0.153316438,1.091078465
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,17,Dichrostachys_cinerea,9.6,15,0.24,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,20,Acacia_grandicornuta,9,17,0.3,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,69,Acacia_grandicornuta,9.2,25,0.37,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,90,Acacia_grandicornuta,6.6,12,0.12,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,90,Acacia_grandicornuta,7.8,18,0.33,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,120,Acacia_grandicornuta,7,20,0.33,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,142,Acacia_grandicornuta,3.3,30,1.13,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
B_2022_30,Airport_C,Skukuza,-24.97186,31.61948,Granite,2022,NA,NA,DCA,male,6-Jun-25,NA,control,169,Acacia_grandicornuta,4.1,37,1,B_2022_30_2025_C,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,598.0629023,1640.893921,4457.464355,0,NA,NA,NA,NA,0,0,0,0,0.1,NA,2.7,NA,NA,NA,NA,NA,554.5272274,NA,NA,477.5338774,22.31717172,NA,NA,22.91666667,NA,33.8,NA,dry,386,41,10,314.1592654,1.228676161,381.0098211,NA,-1640.893921,-4457.464355,-598.0629023,NA,0.836929087,-0.26712529,-0.045564323,0.174746491,1.092975042
