site,lat,long,nickname,year_sampled,Distance_m,PO4_mgkg,SO4_mgkg,NO3_mgkg,NH3_mgkg,HCO3_mgkg,Ca_mgkg,Mg_mgkg,K_mgkg,Na_mgkg,Cl_mgkg,Fe_mgkg,Mn_mgkg,Cu_mgkg,Zn_mgkg,B_mgkg,pH,P_Bray_I_mgkg,N.per,C.per,N15,C13,Notes,date_sampled,line_id,y_obs,d_obs,est_d_death,age_days,sex,cause_death,age_class,plant.species.fol,N.per_fol,C.per_fol,N15_fol,C13_fol,dist2road,dist2river,dist2aw,region,soil_type,land_gertenbach1983,Domwoody_venter,Geomorph_venter,LTYPE_venter,average_rainfall_mm,death_date,survey_date,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,ele_count_2017_buf,ele_groups_2017_buf,buffer_km,buffer_area_km2,ele_density_2017_buf,ele_pressure_2017,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung,death_month,survey_month,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey
B_2018_42,-22.98698,31.42183,Mashekeni,2024,0.5,1.54,672.43,462.55,62.66,3.05,111.42,58.33,153.26,89.93,5.69,0.1,4.05,0.09,0.05,0.2,4.71,346.72,0.26,2,22.08,-14.33,NA,19-Mar-24,Mashekeni_2024_soil,2018,25-Mar-18,3/20/2018,2191,male,Poached,adult,NA,NA,NA,NA,NA,318.4484804,6889.318848,1015.946899,North,Basalt,Colophospermum mopane shrubveld on basalt,Dense-moderately dense C. mopane shrub savanna.Dominant grasses:Bothriocloa radicans & Setaria woodii,Flat & level plains related to LTIII erosion surface,LE03: Mooiplaas,425.0517902,2018-03-20T00:00:00Z,2024-03-19T00:00:00Z,424.9834886,880.5204201,681.7313852,174.6498821,203,21,10,314.1592654,0.646169069,278.4721258,30.01,3.723404255,46,20,0.05,1.5,0.04,NA,NA,NA,NA,NA,2018-03-01T00:00:00Z,2024-03-01T00:00:00Z,23.66767677,23.3,23.77727273,23.86818182,33.1,35.1,late_wet,late_wet
B_2018_42,-22.98698,31.42183,Mashekeni,2024,2.5,18.04,6.5,53.32,0.79,21.36,13.63,7.78,23.46,7.82,16.58,1.73,0.59,0.11,0.08,0.16,6.15,219.53,0.15,1.99,11.27,-13.41,NA,19-Mar-24,Mashekeni_2024_soil,2018,25-Mar-18,3/20/2018,2191,male,Poached,adult,NA,NA,NA,NA,NA,318.4484804,6889.318848,1015.946899,North,Basalt,Colophospermum mopane shrubveld on basalt,Dense-moderately dense C. mopane shrub savanna.Dominant grasses:Bothriocloa radicans & Setaria woodii,Flat & level plains related to LTIII erosion surface,LE03: Mooiplaas,425.0517902,2018-03-20T00:00:00Z,2024-03-19T00:00:00Z,424.9834886,880.5204201,681.7313852,174.6498821,203,21,10,314.1592654,0.646169069,278.4721258,30.01,3.723404255,46,20,0.05,1.5,0.04,NA,NA,NA,NA,NA,2018-03-01T00:00:00Z,2024-03-01T00:00:00Z,23.66767677,23.3,23.77727273,23.86818182,33.1,35.1,late_wet,late_wet
B_2018_42,-22.98698,31.42183,Mashekeni,2024,10,5.7,76.85,128.97,1.08,21.36,36.07,19.93,23.42,9.88,12.82,2.12,0.24,0.11,0.08,0.15,6.21,46.79,0.12,1.77,5.53,-13.39,NA,19-Mar-24,Mashekeni_2024_soil,2018,25-Mar-18,3/20/2018,2191,male,Poached,adult,NA,NA,NA,NA,NA,318.4484804,6889.318848,1015.946899,North,Basalt,Colophospermum mopane shrubveld on basalt,Dense-moderately dense C. mopane shrub savanna.Dominant grasses:Bothriocloa radicans & Setaria woodii,Flat & level plains related to LTIII erosion surface,LE03: Mooiplaas,425.0517902,2018-03-20T00:00:00Z,2024-03-19T00:00:00Z,424.9834886,880.5204201,681.7313852,174.6498821,203,21,10,314.1592654,0.646169069,278.4721258,30.01,3.723404255,46,20,0.05,1.5,0.04,NA,NA,NA,NA,NA,2018-03-01T00:00:00Z,2024-03-01T00:00:00Z,23.66767677,23.3,23.77727273,23.86818182,33.1,35.1,late_wet,late_wet
B_2020_100,-25.089355,31.243995,Albasini,2025,0.5,1.08,3.86,41.23,2.55,1.83,11.83,5.22,8.16,7.59,4.17,1.32,0.33,0.42,0.13,0.16,4.96,13.19,0.09,1.14,7.46,-18.75,NA,5-Mar-25,Albasini_2025_soil,2020,9-Dec-20,12/3/2020,1553,male,Natural,adult,NA,NA,NA,NA,NA,304.6948127,6418.899414,1380.727539,South,Granite,Lowveld Sour Bushveld of Pretoriuskop,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,612.5492397,2020-12-03T00:00:00Z,2025-03-05T00:00:00Z,632.447114,627.2409425,895.8774095,620.3342333,199,22,10,314.1592654,0.633436674,258.4252547,0.2,4.666666667,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,21.78080808,21.48636364,21.21818182,21.65555556,31.5,32.9,early_wet,late_wet
B_2020_100,-25.089355,31.243995,Albasini,2025,10,0.11,3.82,73.11,1.5,1.22,17.7,5.4,16.88,5.21,7.64,0.91,0.14,0.22,0.08,0.16,4.62,48.55,0.06,0.78,4.42,-16.36,NA,5-Mar-25,Albasini_2025_soil,2020,9-Dec-20,12/3/2020,1553,male,Natural,adult,NA,NA,NA,NA,NA,304.6948127,6418.899414,1380.727539,South,Granite,Lowveld Sour Bushveld of Pretoriuskop,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,612.5492397,2020-12-03T00:00:00Z,2025-03-05T00:00:00Z,632.447114,627.2409425,895.8774095,620.3342333,199,22,10,314.1592654,0.633436674,258.4252547,0.2,4.666666667,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,21.78080808,21.48636364,21.21818182,21.65555556,31.5,32.9,early_wet,late_wet
B_2020_100,-25.089355,31.243995,Albasini,2025,2.5,0.59,7.28,64.94,6.2,0.61,14.94,5.76,12.65,7.85,5.83,1.36,0.37,0.34,0.14,0.15,4.76,132.41,0.1,1.18,7.56,-17.81,NA,5-Mar-25,Albasini_2025_soil,2020,9-Dec-20,12/3/2020,1553,male,Natural,adult,NA,NA,NA,NA,NA,304.6948127,6418.899414,1380.727539,South,Granite,Lowveld Sour Bushveld of Pretoriuskop,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,612.5492397,2020-12-03T00:00:00Z,2025-03-05T00:00:00Z,632.447114,627.2409425,895.8774095,620.3342333,199,22,10,314.1592654,0.633436674,258.4252547,0.2,4.666666667,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,21.78080808,21.48636364,21.21818182,21.65555556,31.5,32.9,early_wet,late_wet
B_2020_107,-24.45488,31.87908,Nwanetsi,2025,5,5.84,5.17,116.78,0.03,6.1,23.88,11.7,25.47,17.74,10.38,3.87,0.31,0.32,0.53,0.16,5.46,74,0.16,2.27,5.92,-15.12,NA,17-Mar-25,Nwanetsi_2025_soil,2020,27-Dec-20,12/23/2020,1545,female,Natural,adult,NA,NA,NA,NA,NA,1113.692624,2793.797852,2802.531738,Central,Basalt,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,423.9067512,2020-12-23T00:00:00Z,2025-03-17T00:00:00Z,566.2624245,514.3799787,742.1460314,553.187952,300,25,10,314.1592654,0.954929659,345.598711,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,23.20353535,22.94090909,22.72272727,23.05555556,33.8,35.9,early_wet,late_wet
B_2020_107,-24.45488,31.87908,Nwanetsi,2025,2.5,23.65,5.98,76.79,0.03,12.2,5.51,5.98,10.9,5.92,19.34,45.37,0.24,0.1,0.13,0.005,5.59,241.95,0.18,2.39,7.7,-15.42,NA,17-Mar-25,Nwanetsi_2025_soil,2020,27-Dec-20,12/23/2020,1545,female,Natural,adult,NA,NA,NA,NA,NA,1113.692624,2793.797852,2802.531738,Central,Basalt,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,423.9067512,2020-12-23T00:00:00Z,2025-03-17T00:00:00Z,566.2624245,514.3799787,742.1460314,553.187952,300,25,10,314.1592654,0.954929659,345.598711,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,23.20353535,22.94090909,22.72272727,23.05555556,33.8,35.9,early_wet,late_wet
B_2020_107,-24.45488,31.87908,Nwanetsi,2025,15,4.86,2.24,40.09,0.03,12.2,14.88,8.26,11.86,6.9,3.91,3.57,0.25,0.32,0.18,0.15,5.71,91.92,0.14,2.13,5.33,-14.61,NA,17-Mar-25,Nwanetsi_2025_soil,2020,27-Dec-20,12/23/2020,1545,female,Natural,adult,NA,NA,NA,NA,NA,1113.692624,2793.797852,2802.531738,Central,Basalt,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,423.9067512,2020-12-23T00:00:00Z,2025-03-17T00:00:00Z,566.2624245,514.3799787,742.1460314,553.187952,300,25,10,314.1592654,0.954929659,345.598711,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,23.20353535,22.94090909,22.72272727,23.05555556,33.8,35.9,early_wet,late_wet
B_2020_107,-24.45488,31.87908,Nwanetsi,2025,0.5,5.82,5.48,141.86,0.03,6.1,14.58,10.57,15.96,18.53,17.04,34.97,0.23,0.17,0.08,0.02,5,148.06,0.16,2.24,6.82,-15.53,NA,17-Mar-25,Nwanetsi_2025_soil,2020,27-Dec-20,12/23/2020,1545,female,Natural,adult,NA,NA,NA,NA,NA,1113.692624,2793.797852,2802.531738,Central,Basalt,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,423.9067512,2020-12-23T00:00:00Z,2025-03-17T00:00:00Z,566.2624245,514.3799787,742.1460314,553.187952,300,25,10,314.1592654,0.954929659,345.598711,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,23.20353535,22.94090909,22.72272727,23.05555556,33.8,35.9,early_wet,late_wet
