site,lat,long,line_id,unique_id,year_sampled,nickname,section,y_obs,d_obs,est_d_death,sex,cause_death,age_class,date_sampled,age_days,type,soil_type,region,average_rainfall_mm,land_gertenbach1983,Domwoody_venter,Geomorph_venter,LTYPE_venter,dist2road,dist2river,dist2aw,feather_count,skull_found,skull_lat,skull_long,rocky_count,notes_24,notes_25,death_date,survey_date,death_month,survey_month,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_count_2017_buf,ele_groups_2017_buf,buffer_km,buffer_area_km2,ele_density_2017_buf,ele_pressure_2017,dung_e,near_river,near_aw,near_road,z_dung,z_river,z_aw,z_road,ele_pressure_proxy,hyena_density_2015_idw,unique_id_fixed,dis.road.m,date_visit,strike,distance_m,soil_resistance,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung,PO4_mgkg,SO4_mgkg,NO3_mgkg,NH3_mgkg,HCO3_mgkg,Ca_mgkg,Mg_mgkg,K_mgkg,Na_mgkg,Cl_mgkg,Fe_mgkg,Mn_mgkg,Cu_mgkg,Zn_mgkg,B_mgkg,pH,P_Bray_I_mgkg,N.per,C.per,N15,C13,N.per_fol,C.per_fol,N15_fol,C13_fol
B_2023_144,-25.38026,32.01188,Bushwillow_2025,B_2023_144_2025,2025,Bushwillow,Crocodile Bridge,2023,27-Dec-23,20-Dec-23,female,Shot,adult,25-Jul-25,583,carcass,Granite,South,259.9222104,Lebombo South,Dense-moderately dense C.apiculatum/P.rotundifolius bush savanna.  A.nigrescens on clayey soils associated with dolerite dykes & D.africana,Low mts & hills with strongly-slightly undulating landform.  Deeply incised by spruits to form deep narr,SP01: Sabiepoort,14.46152655,NA,NA,0,yes,-25.38052,32.01201,NA,NA,NA,2023-12-20T00:00:00Z,2025-07-25T00:00:00Z,2023-12-01T00:00:00Z,2025-07-01T00:00:00Z,653.958884,710.7391033,629.7137079,560.2425804,22.05454545,22.12727273,22.44545455,22.59,31.3,32.6,early_wet,dry,101,17,10,314.1592654,0.321492985,230.7241277,0.683096845,NA,NA,-14.46152655,0.039458756,NA,NA,1.033324525,0.536391641,0.655550039,B_2023_144_2025,14,25-Jul-25,15,1,9848.841453,1,4.875,35,1,0.16,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2025_4,-25.18761,31.88496,Siwela_2025,B_2025_4_2025,2025,Siwela,Lower Sabie,2025,not_provided,27-Feb-25,female,Natural,adult,4-Aug-25,158,carcass,Basalt,South,437.5604382,Acacia welwitschii thickets on Karoo sediments,A.welwitschii/E.diinorum tree savanna with Spirostachys africana near drainage channels.,Flat-slightly undulating with scattered low koppies & rock outcrops,VU01: Vutome,261.3112908,7014.594238,4171.882324,18,no,NA,NA,NA,NA,NA,2025-02-27T00:00:00Z,2025-08-04T00:00:00Z,2025-02-01T00:00:00Z,2025-08-01T00:00:00Z,627.4551109,661.7758179,221.3505282,551.3210597,23.02424242,23.08,NA,24.8125,34.3,34.3,late_wet,dry,458,46,10,314.1592654,1.457859279,350.0857418,1.978239036,-7014.594238,-4171.882324,-261.3112908,2.349727992,-0.533278845,-0.08825686,0.576979717,0.576293001,1.185906954,B_2025_4_2025,300,4-Aug-25,15,1,9379.849003,5.24,4.642857143,62,5,0.08,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2025_4,-25.18761,31.88496,Siwela_2025,B_2025_4_2025,2025,Siwela,Lower Sabie,2025,not_provided,27-Feb-25,female,Natural,adult,4-Aug-25,158,carcass,Basalt,South,437.5604382,Acacia welwitschii thickets on Karoo sediments,A.welwitschii/E.diinorum tree savanna with Spirostachys africana near drainage channels.,Flat-slightly undulating with scattered low koppies & rock outcrops,VU01: Vutome,261.3112908,7014.594238,4171.882324,18,no,NA,NA,NA,NA,NA,2025-02-27T00:00:00Z,2025-08-04T00:00:00Z,2025-02-01T00:00:00Z,2025-08-01T00:00:00Z,627.4551109,661.7758179,221.3505282,551.3210597,23.02424242,23.08,NA,24.8125,34.3,34.3,late_wet,dry,458,46,10,314.1592654,1.457859279,350.0857418,1.978239036,-7014.594238,-4171.882324,-261.3112908,2.349727992,-0.533278845,-0.08825686,0.576979717,0.576293001,1.185906954,B_2025_4_2025,300,4-Aug-25,15,2.5,9379.849003,5.24,4.642857143,62,5,0.08,6.23,NA,NA,NA,NA,NA,NA,3.92,27.16,283.01,25.57,3.05,18.66,11.97,115.09,113.07,305.85,8.14,1.48,0.22,0.04,0.17,5.01,92.04,0.1,1.01,9.33,-18.7,NA,NA,NA,NA
B_2023_144,-25.38026,32.01188,Bushwillow_2025,B_2023_144_2025,2025,Bushwillow,Crocodile Bridge,2023,27-Dec-23,20-Dec-23,female,Shot,adult,25-Jul-25,583,carcass,Granite,South,259.9222104,Lebombo South,Dense-moderately dense C.apiculatum/P.rotundifolius bush savanna.  A.nigrescens on clayey soils associated with dolerite dykes & D.africana,Low mts & hills with strongly-slightly undulating landform.  Deeply incised by spruits to form deep narr,SP01: Sabiepoort,14.46152655,NA,NA,0,yes,-25.38052,32.01201,NA,NA,NA,2023-12-20T00:00:00Z,2025-07-25T00:00:00Z,2023-12-01T00:00:00Z,2025-07-01T00:00:00Z,653.958884,710.7391033,629.7137079,560.2425804,22.05454545,22.12727273,22.44545455,22.59,31.3,32.6,early_wet,dry,101,17,10,314.1592654,0.321492985,230.7241277,0.683096845,NA,NA,-14.46152655,0.039458756,NA,NA,1.033324525,0.536391641,0.655550039,B_2023_144_2025,14,25-Jul-25,2,0.5,8754.525736,1,4.875,35,1,0.16,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2024_205,-25.07561,31.85144,Lingwe_2025,B_2024_205_2025,2025,Lingwe,Lower Sabie,2024,not_provided,19-Oct-24,female,Natural,adult,23-Jul-25,277,carcass,Basalt,South,519.6536325,Thickets of the Sabie & Crocodile River,A.welwitschii/E.diinorum tree savanna with Spirostachys africana near drainage channels.,Flat-slightly undulating with scattered low koppies & rock outcrops,VU01: Vutome,95.30878772,2397.155029,1707.17749,5,yes,-25.07554,31.85128,NA,NA,NA,2024-10-19T00:00:00Z,2025-07-23T00:00:00Z,2024-10-01T00:00:00Z,2025-07-01T00:00:00Z,603.3195304,501.9256201,536.4557137,512.5815835,22.91111111,23.02727273,28.25,23.93,33,34,early_wet,dry,1040,76,10,314.1592654,3.310422816,457.9534029,0.231111721,-2397.155029,-1707.17749,-95.30878772,-0.766790421,0.644094558,1.455460311,0.883864273,0.55415718,0.975120716,B_2024_205_2025,83,23-Jul-25,2,0.5,8754.525736,6.34,3.75,2,2,0.18,0.26,NA,NA,NA,NA,NA,NA,6.52,37.64,916.64,0.03,0,109.81,40.35,119.64,105.96,65.23,0.02,11.48,0.21,0.09,0.05,4.46,133.64,0.15,1.67,13.23,-20.04,NA,NA,NA,NA
B_2024_253,-24.73346,31.93419,Joy_2025,B_2024_253_2025,2025,Joy,Tshokwane,2024,not_provided,9-Dec-24,male,Natural,adult,18-Jul-25,221,carcass,Basalt,Central,471.957357,Lebombo South,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,390.418888,4986.561523,4102.267578,8,yes,-24.73377,31.93391,NA,NA,NA,2024-12-09T00:00:00Z,2025-07-18T00:00:00Z,2024-12-01T00:00:00Z,2025-07-01T00:00:00Z,627.6698977,525.2262764,437.2622643,566.7296438,22.70909091,23.1,NA,23.92,34.5,34.5,early_wet,dry,101,16,10,314.1592654,0.321492985,315.9763997,2.219203484,-4986.561523,-4102.267578,-390.418888,2.779559368,-0.016162826,-0.044655096,0.338301824,0.764260817,0.584590347,B_2024_253_2025,1390,18-Jul-25,2,0.5,8754.525736,60.22,3.255813953,28,23,0.02,8.2,NA,NA,NA,NA,NA,NA,3.86,213.8,398.64,463.16,109.83,32.78,14.19,170.06,199.5,171.09,1.17,3.71,0.53,0.15,0.22,6.8,204.93,0.36,2.07,27.47,-14.7,NA,NA,NA,NA
B_2024_253,-24.73346,31.93419,Joy_2025,B_2024_253_2025,2025,Joy,Tshokwane,2024,not_provided,9-Dec-24,male,Natural,adult,18-Jul-25,221,carcass,Basalt,Central,471.957357,Lebombo South,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,390.418888,4986.561523,4102.267578,8,yes,-24.73377,31.93391,NA,NA,NA,2024-12-09T00:00:00Z,2025-07-18T00:00:00Z,2024-12-01T00:00:00Z,2025-07-01T00:00:00Z,627.6698977,525.2262764,437.2622643,566.7296438,22.70909091,23.1,NA,23.92,34.5,34.5,early_wet,dry,101,16,10,314.1592654,0.321492985,315.9763997,2.219203484,-4986.561523,-4102.267578,-390.418888,2.779559368,-0.016162826,-0.044655096,0.338301824,0.764260817,0.584590347,B_2024_253_2025,1390,18-Jul-25,2,1,8754.525736,60.22,3.255813953,28,23,0.02,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2024_253,-24.73346,31.93419,Joy_2025,B_2024_253_2025,2025,Joy,Tshokwane,2024,not_provided,9-Dec-24,male,Natural,adult,18-Jul-25,221,carcass,Basalt,Central,471.957357,Lebombo South,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,390.418888,4986.561523,4102.267578,8,yes,-24.73377,31.93391,NA,NA,NA,2024-12-09T00:00:00Z,2025-07-18T00:00:00Z,2024-12-01T00:00:00Z,2025-07-01T00:00:00Z,627.6698977,525.2262764,437.2622643,566.7296438,22.70909091,23.1,NA,23.92,34.5,34.5,early_wet,dry,101,16,10,314.1592654,0.321492985,315.9763997,2.219203484,-4986.561523,-4102.267578,-390.418888,2.779559368,-0.016162826,-0.044655096,0.338301824,0.764260817,0.584590347,B_2024_253_2025,1390,18-Jul-25,10,1,8754.525736,60.22,3.255813953,28,23,0.02,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2024_98,-24.797829,31.8706,Show_Biz_2025,B_2024_98_2025,2025,Show Biz,Tshokwane,2024,4/15/2024,4/14/2024,male,Fighting,adult,14-Jul-25,456,carcass,Basalt,Central,447.8512669,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,107.0284124,1947.372681,2314.832031,0,yes,-24.79654,31.87041,NA,NA,NA,2024-04-14T00:00:00Z,2025-07-14T00:00:00Z,2024-04-01T00:00:00Z,2025-07-01T00:00:00Z,607.9748614,561.192524,533.4564948,539.0150743,22.64090909,22.67727273,22.50714286,23.75,32.7,34.1,dry,dry,99,16,10,314.1592654,0.315126787,356.2991286,0.955511445,-1947.372681,-2314.832031,-107.0284124,0.525390783,0.758781888,1.074868389,0.862198505,0.805309891,0.486836822,B_2024_98_2025,107,14-Jul-25,2,0.5,8754.525736,1.34,5,39,0,0.28,1.6,0.54,NA,NA,NA,NA,NA,0.32,5.01,118.25,45.35,12.2,134,55.45,114.19,148.4,18.61,0.02,0.95,0.08,0.03,0.17,5.61,198.69,0.21,1.86,12.86,-16.57,NA,NA,NA,NA
B_2024_98,-24.797829,31.8706,Show_Biz_2025,B_2024_98_2025,2025,Show Biz,Tshokwane,2024,4/15/2024,4/14/2024,male,Fighting,adult,14-Jul-25,456,carcass,Basalt,Central,447.8512669,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,107.0284124,1947.372681,2314.832031,0,yes,-24.79654,31.87041,NA,NA,NA,2024-04-14T00:00:00Z,2025-07-14T00:00:00Z,2024-04-01T00:00:00Z,2025-07-01T00:00:00Z,607.9748614,561.192524,533.4564948,539.0150743,22.64090909,22.67727273,22.50714286,23.75,32.7,34.1,dry,dry,99,16,10,314.1592654,0.315126787,356.2991286,0.955511445,-1947.372681,-2314.832031,-107.0284124,0.525390783,0.758781888,1.074868389,0.862198505,0.805309891,0.486836822,B_2024_98_2025,107,14-Jul-25,10,0.5,8754.525736,1.34,5,39,0,0.28,1.6,0.54,NA,NA,NA,NA,NA,0.32,5.01,118.25,45.35,12.2,134,55.45,114.19,148.4,18.61,0.02,0.95,0.08,0.03,0.17,5.61,198.69,0.21,1.86,12.86,-16.57,NA,NA,NA,NA
