site,lat,long,line_id,unique_id,year_sampled,nickname,section,y_obs,d_obs,est_d_death,sex,cause_death,age_class,date_sampled,age_days,type,soil_type,region,average_rainfall_mm,land_gertenbach1983,Domwoody_venter,Geomorph_venter,LTYPE_venter,dist2road,dist2river,dist2aw,feather_count,skull_found,skull_lat,skull_long,rocky_count,notes_24,notes_25,death_date,survey_date,death_month,survey_month,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_count_2017_buf,ele_groups_2017_buf,buffer_km,buffer_area_km2,ele_density_2017_buf,ele_pressure_2017,dung_e,near_river,near_aw,near_road,z_dung,z_river,z_aw,z_road,ele_pressure_proxy,hyena_density_2015_idw,unique_id_fixed,dis.road.m,date_visit,strike,distance_m,soil_resistance,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung,PO4_mgkg,SO4_mgkg,NO3_mgkg,NH3_mgkg,HCO3_mgkg,Ca_mgkg,Mg_mgkg,K_mgkg,Na_mgkg,Cl_mgkg,Fe_mgkg,Mn_mgkg,Cu_mgkg,Zn_mgkg,B_mgkg,pH,P_Bray_I_mgkg,N.per,C.per,N15,C13,N.per_fol,C.per_fol,N15_fol,C13_fol
B_2022_129,-25.121177,31.33036,Khensani_2025,B_2022_129_2025,2025,Khensani,Pretoriuskop,2022,16-Nov-22,16-Nov-22,female,Management,adult,10-Jul-25,967,carcass,Granite,South,570.5978715,Combretum collinum / Combretum zeyheri woodland,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,930.6087778,2631.378662,3434.723389,0,no,NA,NA,NA,NA,NA,2022-11-16T00:00:00Z,2025-07-10T00:00:00Z,2022-11-01T00:00:00Z,2025-07-01T00:00:00Z,671.8596036,672.6183882,965.7280321,587.7765889,21.83434343,21.72727273,21.69090909,23.33,32.1,33,early_wet,dry,352,38,10,314.1592654,1.120450799,293.0257491,1.098612289,-2631.378662,-3434.723389,-930.6087778,0.780653471,0.584371265,0.373447475,-0.660333327,0.269534721,0.398881864,B_2022_129_2025,931,10-Jul-25,10,15,3647.719057,0.32,5,3,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_134,-23.96107,31.37574,Granite_2025,B_2022_134_2025,2025,Granite,Phalaborwa,2022,1-Dec-22,27-Nov-22,female,Natural,adult,30-Jul-25,976,carcass,Granite,Central,374.1327924,Phalaborwa Sandveld,"C.apiculatum/c.mopane/T.pruniodes bush to tree savanna.Chomophytes:Kirkia acuminata,Ficus abutilifolia & Euphorbia cooperi occur",Deeply insiced plains adjoining Olifants R forming rugged irregular bands,PH03: Tsheri,738.7354317,9908.216797,5802.815918,0,no,NA,NA,NA,NA,NA,2022-11-27T00:00:00Z,2025-07-30T00:00:00Z,2022-11-01T00:00:00Z,2025-07-01T00:00:00Z,478.2764382,478.4656453,646.9716971,445.763093,22.97575758,22.97272727,22.99545455,24.87,33.1,35.7,early_wet,dry,128,18,10,314.1592654,0.407436654,328.5521229,1.366091654,-9908.216797,-5802.815918,-738.7354317,1.257782046,-1.271106477,-1.109758566,-0.305622009,-0.357176251,0.343850848,B_2022_134_2025,739,30-Jul-25,15,2.5,3647.719057,0.06,5,3,0,0.4,2.92,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_30,-24.97095,31.61932,Airport_2025,B_2022_30_2025,2025,Airport,Skukuza,2022,15-Apr-22,15-Apr-22,male,DCA,adult,6-Jun-25,1148,carcass,Granite,South,475.9185388,Thickets of the Sabie & Crocodile River,Moderately dense C. apiculatum/G.bicolor bush savanna with A..exuvialis & A. nigrescens,Slightly-moderately undulating plains which slope down to Sabie R,SK07: Skukuza,632.8392603,1640.893921,4457.464355,0,no,NA,NA,NA,NA,skull disappeared in 24,2022-04-15T00:00:00Z,2025-06-06T00:00:00Z,2022-04-01T00:00:00Z,2025-06-01T00:00:00Z,554.5272274,578.2764215,709.1182847,477.5338774,22.31717172,21.95,22.24090909,22.91666667,32.1,33.8,dry,dry,386,41,10,314.1592654,1.228676161,380.4136073,NA,-1640.893921,-4457.464355,-632.8392603,NA,0.836929087,-0.26712529,-0.109854481,0.153316438,1.091078465,B_2022_30_2025,100,6-Jun-25,10,5,3647.719057,0,0,0,0,0.04,NA,2.44,NA,NA,NA,NA,NA,7.59,3.6,82.13,0.62,12.2,19.77,9.16,47.85,7.87,8.97,2.12,0.24,0.36,0.23,0.19,5.97,331.18,0.13,1.49,9.76,-17.03,2.18,44.97,7.13,-30.82
B_2022_31,-23.075886,30.91599,Bububu_2025,B_2022_31_2025,2025,Bububu,Shangoni,2022,5-Apr-23,10-Apr-22,male,Poached,adult,18-Aug-25,1226,carcass,Granite,North,379.1720883,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,1199.898649,2460.64209,6797.304199,0,yes,-23.07573,30.91601,NA,NA,"no control done, out of time",2022-04-10T00:00:00Z,2025-08-18T00:00:00Z,2022-04-01T00:00:00Z,2025-08-01T00:00:00Z,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,23,8,10,314.1592654,0.073211274,244.1417774,0.470003629,-2460.64209,-6797.304199,-1199.898649,-0.340656032,0.627906369,-1.732635843,-1.158162583,-0.650887022,0.351075808,B_2022_31_2025,1200,18-Aug-25,15,5,3647.719057,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_33,-23.06978,30.91227,Msinya_2025,B_2022_33_2025,2025,Msinya,Shangoni,2022,4-Apr-23,9-Apr-22,male,Poached,adult,18-Aug-25,1227,carcass,Granite,North,371.9511807,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,1089.562752,2585.275391,6672.101074,0,yes,-23.0705,30.9119,NA,NA,NA,2022-04-09T00:00:00Z,2025-08-18T00:00:00Z,2022-04-01T00:00:00Z,2025-08-01T00:00:00Z,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,111,11,10,314.1592654,0.353323974,243.2335908,NA,-2585.275391,-6672.101074,-1089.562752,NA,0.596126864,-1.654217441,-0.954187449,-0.670759342,0.354058543,B_2022_33_2025,1090,18-Aug-25,10,1,3647.719057,54.33,3.302325581,16,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_33_C,-23.06888,30.91229,Msinya_C_2025,B_2022_33_2025_C,2025,Msinya_C,Shangoni,2022,NA,NA,male,Poached,adult,18-Aug-25,NA,control,Granite,North,371.9511807,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,1127.365524,2585.275391,6672.101074,0,NA,NA,NA,NA,NA,NA,NA,2025-08-18T00:00:00Z,NA,2025-08-01T00:00:00Z,415.9791191,NA,NA,540.3760989,22.95505051,NA,NA,26.125,NA,36.1,NA,dry,111,11,10,314.1592654,0.353323974,243.349979,0.019802627,-2585.275391,-6672.101074,-1127.365524,-1.1437227,0.596126864,-1.654217441,-1.024072461,-0.806471435,0.354462353,B_2022_33_C_2025,1090,18-Aug-25,10,15,3647.719057,0,0,0,0,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_33_C,-23.06888,30.91229,Msinya_C_2025,B_2022_33_2025_C,2025,Msinya_C,Shangoni,2022,NA,NA,male,Poached,adult,18-Aug-25,NA,control,Granite,North,371.9511807,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,1127.365524,2585.275391,6672.101074,0,NA,NA,NA,NA,NA,NA,NA,2025-08-18T00:00:00Z,NA,2025-08-01T00:00:00Z,415.9791191,NA,NA,540.3760989,22.95505051,NA,NA,26.125,NA,36.1,NA,dry,111,11,10,314.1592654,0.353323974,243.349979,0.019802627,-2585.275391,-6672.101074,-1127.365524,-1.1437227,0.596126864,-1.654217441,-1.024072461,-0.806471435,0.354462353,B_2022_33_C_2025,1090,18-Aug-25,15,10,3647.719057,0,0,0,0,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_37,-23.86795,31.54198,Nhlanganini_2025,B_2022_37_2025,2025,Nhlanganini,Letaba,2022,4-May-22,28-Apr-22,male,Natural,adult,29-Jul-25,1188,carcass,Basalt,Central,366.0817611,Colophospermum mopane Forest,Open - moderately dense C. mopane bush savanna,Dissected & moderately undulating land from Quaternary erosion,LE02: Letaba,139.2737201,4837.447266,8105.197266,0,no,NA,NA,NA,NA,NA,2022-04-28T00:00:00Z,2025-07-29T00:00:00Z,2022-04-01T00:00:00Z,2025-07-01T00:00:00Z,416.4311916,411.3091843,464.5164974,376.0561886,23.71111111,23.40909091,23.73181818,25.65,34.8,37.1,dry,dry,316,33,10,314.1592654,1.00585924,348.7384003,NA,-4837.447266,-8105.197266,-139.2737201,NA,0.021858932,-2.55180776,0.802587434,-0.575787131,0.374042789,B_2022_37_2025,139,29-Jul-25,15,0.5,3647.719057,68.81,3.777777778,24,14,0.02,NA,NA,NA,NA,NA,NA,NA,19.65,5.08,33.02,0.03,18.3,7.36,9.64,12.82,7.26,2.45,18.7,0.09,0.3,0.04,0.08,6.56,67.59,0.11,1.76,6.11,-17.36,NA,NA,NA,NA
B_2022_54_C,-24.54254,31.79986,Marheya_C_2025,B_2022_54_2025_C,2025,Marheya_C,N'wanetsi,2022,NA,NA,male,Natural,adult,10-Jun-25,NA,control,Basalt,Central,454.4447684,Kumana Sandveld,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,2169.390465,3178.992432,4256.434082,0,NA,NA,NA,NA,NA,NA,NA,2025-06-10T00:00:00Z,NA,2025-06-01T00:00:00Z,545.4777867,NA,NA,491.6915402,22.6520202,NA,NA,23.35833333,NA,34.7,NA,dry,278,39,10,314.1592654,0.884901484,378.8399687,NA,-3178.992432,-4256.434082,-2169.390465,NA,0.444738482,-0.141214114,-2.95043716,-0.882304264,0.86246087,B_2022_54_C_2025,2160,10-Jun-25,15,1,3647.719057,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_54_C,-24.54254,31.79986,Marheya_C_2025,B_2022_54_2025_C,2025,Marheya_C,N'wanetsi,2022,NA,NA,male,Natural,adult,10-Jun-25,NA,control,Basalt,Central,454.4447684,Kumana Sandveld,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,2169.390465,3178.992432,4256.434082,0,NA,NA,NA,NA,NA,NA,NA,2025-06-10T00:00:00Z,NA,2025-06-01T00:00:00Z,545.4777867,NA,NA,491.6915402,22.6520202,NA,NA,23.35833333,NA,34.7,NA,dry,278,39,10,314.1592654,0.884901484,378.8399687,NA,-3178.992432,-4256.434082,-2169.390465,NA,0.444738482,-0.141214114,-2.95043716,-0.882304264,0.86246087,B_2022_54_C_2025,2160,10-Jun-25,15,2.5,3647.719057,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_56,-23.11656,31.40627,Kule_2025,B_2022_56_2025,2025,Kule,Shingwedzi,2022,28-Jun-22,28-Jun-22,male,DCA,adult,20-Aug-25,1149,carcass,Basalt,North,391.0012146,Combretum / Colophospermum mopane Rugged Veld,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,1732.032921,2305.401855,1704.212646,0,yes,-23.11624,31.40672,NA,NA,NA,2022-06-28T00:00:00Z,2025-08-20T00:00:00Z,2022-06-01T00:00:00Z,2025-08-01T00:00:00Z,373.3621478,403.5015337,342.2207525,409.5820091,23.72878788,23.23636364,24.04545455,27.35,34.4,37.8,dry,dry,598,49,10,314.1592654,1.903493119,354.0874376,0.182321557,-2305.401855,-1704.212646,-1732.032921,-0.853822112,0.667490155,1.45731728,-2.141905521,-0.21773005,0.222140359,B_2022_56_2025,1732,20-Aug-25,10,0.5,3647.719057,0.66,5,130,0,0.18,0.2,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_56,-23.11656,31.40627,Kule_2025,B_2022_56_2025,2025,Kule,Shingwedzi,2022,28-Jun-22,28-Jun-22,male,DCA,adult,20-Aug-25,1149,carcass,Basalt,North,391.0012146,Combretum / Colophospermum mopane Rugged Veld,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,1732.032921,2305.401855,1704.212646,0,yes,-23.11624,31.40672,NA,NA,NA,2022-06-28T00:00:00Z,2025-08-20T00:00:00Z,2022-06-01T00:00:00Z,2025-08-01T00:00:00Z,373.3621478,403.5015337,342.2207525,409.5820091,23.72878788,23.23636364,24.04545455,27.35,34.4,37.8,dry,dry,598,49,10,314.1592654,1.903493119,354.0874376,0.182321557,-2305.401855,-1704.212646,-1732.032921,-0.853822112,0.667490155,1.45731728,-2.141905521,-0.21773005,0.222140359,B_2022_56_2025,1732,20-Aug-25,10,10,3647.719057,0.66,5,130,0,0.18,0.2,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_56_C,-23.11558,31.40625,Kule_C_2025,B_2022_56_2025_C,2025,Kule_C,Shingwedzi,2022,NA,NA,male,DCA,adult,20-Aug-25,NA,control,Basalt,North,391.0012146,Combretum / Colophospermum mopane Rugged Veld,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,1733.338051,2305.401855,1704.212646,0,NA,NA,NA,NA,NA,NA,NA,2025-08-20T00:00:00Z,NA,2025-08-01T00:00:00Z,373.3621478,NA,NA,409.5820091,23.72878788,NA,NA,27.35,NA,37.8,NA,dry,598,49,10,314.1592654,1.903493119,353.4539406,0.530628251,-2305.401855,-1704.212646,-1733.338051,-0.232514085,0.667490155,1.45731728,-2.144318281,-0.063006233,0.224251095,B_2022_56_C_2025,1732,20-Aug-25,10,5,3647.719057,0,0,0,0,NA,0.7,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_56_C,-23.11558,31.40625,Kule_C_2025,B_2022_56_2025_C,2025,Kule_C,Shingwedzi,2022,NA,NA,male,DCA,adult,20-Aug-25,NA,control,Basalt,North,391.0012146,Combretum / Colophospermum mopane Rugged Veld,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,1733.338051,2305.401855,1704.212646,0,NA,NA,NA,NA,NA,NA,NA,2025-08-20T00:00:00Z,NA,2025-08-01T00:00:00Z,373.3621478,NA,NA,409.5820091,23.72878788,NA,NA,27.35,NA,37.8,NA,dry,598,49,10,314.1592654,1.903493119,353.4539406,0.530628251,-2305.401855,-1704.212646,-1733.338051,-0.232514085,0.667490155,1.45731728,-2.144318281,-0.063006233,0.224251095,B_2022_56_C_2025,1732,20-Aug-25,15,0.5,3647.719057,0,0,0,0,NA,0.7,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_56_C,-23.11558,31.40625,Kule_C_2025,B_2022_56_2025_C,2025,Kule_C,Shingwedzi,2022,NA,NA,male,DCA,adult,20-Aug-25,NA,control,Basalt,North,391.0012146,Combretum / Colophospermum mopane Rugged Veld,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,1733.338051,2305.401855,1704.212646,0,NA,NA,NA,NA,NA,NA,NA,2025-08-20T00:00:00Z,NA,2025-08-01T00:00:00Z,373.3621478,NA,NA,409.5820091,23.72878788,NA,NA,27.35,NA,37.8,NA,dry,598,49,10,314.1592654,1.903493119,353.4539406,0.530628251,-2305.401855,-1704.212646,-1733.338051,-0.232514085,0.667490155,1.45731728,-2.144318281,-0.063006233,0.224251095,B_2022_56_C_2025,1732,20-Aug-25,15,2.5,3647.719057,0,0,0,0,NA,0.7,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_61,-23.12896,31.43464,Mopane_2025,B_2022_61_2025,2025,Mopane,Shingwedzi,2022,7-Jul-22,7-Jul-22,male,DCA,adult,20-Aug-25,1140,carcass,Basalt,North,384.6655571,Combretum / Colophospermum mopane Rugged Veld,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,524.4575113,1548.173096,2296.010254,0,yes,-23.12919,31.43472,NA,NA,NA,2022-07-07T00:00:00Z,2025-08-20T00:00:00Z,2022-07-01T00:00:00Z,2025-08-01T00:00:00Z,373.3621478,400.0614641,348.7654159,409.5820091,23.62474747,23.18636364,23.85909091,27.2625,34.4,37.7,dry,dry,706,59,10,314.1592654,2.247267796,364.5905758,0.587786665,-1548.173096,-2296.010254,-524.4575113,-0.130555145,0.860571419,1.086657022,0.090508069,0.476795342,0.208349568,B_2022_61_2025,524,20-Aug-25,10,1,3647.719057,4.82,4.72,87,5,NA,0.8,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_62,-23.002281,31.473493,Vutivi_2025,B_2022_62_2025,2025,Vutivi,Shingwedzi,2022,16-Jul-22,9-Jul-22,male,Natural,adult,19-Aug-25,1137,carcass,Basalt,North,443.7607428,Mixed Combretum / Colophospermum mopane woodland,Dense-moderately dense C. mopane shrub savanna. Dominant grass:Themeda triandra,Flat & level plains related to LTIII erosion surface,LE04: Manyeleti,1763.247907,9244.009766,2769.776611,0,yes,-23.00233,31.47332,NA,NA,NA,2022-07-09T00:00:00Z,2025-08-19T00:00:00Z,2022-07-01T00:00:00Z,2025-08-01T00:00:00Z,369.3038834,416.4666531,317.2903442,423.1605976,23.73787879,23.3,23.95909091,26.8375,34.4,37.4,dry,dry,61,9,10,314.1592654,0.194169031,265.5392775,1.415853163,-9244.009766,-2769.776611,-1763.247907,1.346546419,-1.101744271,0.78992321,-2.199611862,-0.291221626,0.256203977,B_2022_62_2025,1763,19-Aug-25,10,0.5,3647.719057,51.73,3.5,53,20,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_62,-23.002281,31.473493,Vutivi_2025,B_2022_62_2025,2025,Vutivi,Shingwedzi,2022,16-Jul-22,9-Jul-22,male,Natural,adult,19-Aug-25,1137,carcass,Basalt,North,443.7607428,Mixed Combretum / Colophospermum mopane woodland,Dense-moderately dense C. mopane shrub savanna. Dominant grass:Themeda triandra,Flat & level plains related to LTIII erosion surface,LE04: Manyeleti,1763.247907,9244.009766,2769.776611,0,yes,-23.00233,31.47332,NA,NA,NA,2022-07-09T00:00:00Z,2025-08-19T00:00:00Z,2022-07-01T00:00:00Z,2025-08-01T00:00:00Z,369.3038834,416.4666531,317.2903442,423.1605976,23.73787879,23.3,23.95909091,26.8375,34.4,37.4,dry,dry,61,9,10,314.1592654,0.194169031,265.5392775,1.415853163,-9244.009766,-2769.776611,-1763.247907,1.346546419,-1.101744271,0.78992321,-2.199611862,-0.291221626,0.256203977,B_2022_62_2025,1763,19-Aug-25,15,1,3647.719057,51.73,3.5,53,20,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_62,-23.002281,31.473493,Vutivi_2025,B_2022_62_2025,2025,Vutivi,Shingwedzi,2022,16-Jul-22,9-Jul-22,male,Natural,adult,19-Aug-25,1137,carcass,Basalt,North,443.7607428,Mixed Combretum / Colophospermum mopane woodland,Dense-moderately dense C. mopane shrub savanna. Dominant grass:Themeda triandra,Flat & level plains related to LTIII erosion surface,LE04: Manyeleti,1763.247907,9244.009766,2769.776611,0,yes,-23.00233,31.47332,NA,NA,NA,2022-07-09T00:00:00Z,2025-08-19T00:00:00Z,2022-07-01T00:00:00Z,2025-08-01T00:00:00Z,369.3038834,416.4666531,317.2903442,423.1605976,23.73787879,23.3,23.95909091,26.8375,34.4,37.4,dry,dry,61,9,10,314.1592654,0.194169031,265.5392775,1.415853163,-9244.009766,-2769.776611,-1763.247907,1.346546419,-1.101744271,0.78992321,-2.199611862,-0.291221626,0.256203977,B_2022_62_2025,1763,19-Aug-25,15,10,3647.719057,51.73,3.5,53,20,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_62_C,-23.0013,31.47347,Vutivi_C_2025,B_2022_62_2025_C,2025,Vutivi_C,Shingwedzi,2022,NA,NA,male,Natural,adult,19-Aug-25,NA,control,Basalt,North,443.7607428,Mixed Combretum / Colophospermum mopane woodland,Dense-moderately dense C. mopane shrub savanna. Dominant grass:Themeda triandra,Flat & level plains related to LTIII erosion surface,LE04: Manyeleti,1669.7386,9244.009766,2769.776611,0,NA,NA,NA,NA,NA,NA,NA,2025-08-19T00:00:00Z,NA,2025-08-01T00:00:00Z,369.3038834,NA,NA,423.1605976,23.73787879,NA,NA,26.8375,NA,37.4,NA,dry,67,10,10,314.1592654,0.213267624,265.0748106,0,-9244.009766,-2769.776611,-1669.7386,-1.179046544,-1.101744271,0.78992321,-2.026743612,-0.879402804,0.255826054,B_2022_62_C_2025,1763,19-Aug-25,10,5,3647.719057,0,0,0,0,0,0,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_62_C,-23.0013,31.47347,Vutivi_C_2025,B_2022_62_2025_C,2025,Vutivi_C,Shingwedzi,2022,NA,NA,male,Natural,adult,19-Aug-25,NA,control,Basalt,North,443.7607428,Mixed Combretum / Colophospermum mopane woodland,Dense-moderately dense C. mopane shrub savanna. Dominant grass:Themeda triandra,Flat & level plains related to LTIII erosion surface,LE04: Manyeleti,1669.7386,9244.009766,2769.776611,0,NA,NA,NA,NA,NA,NA,NA,2025-08-19T00:00:00Z,NA,2025-08-01T00:00:00Z,369.3038834,NA,NA,423.1605976,23.73787879,NA,NA,26.8375,NA,37.4,NA,dry,67,10,10,314.1592654,0.213267624,265.0748106,0,-9244.009766,-2769.776611,-1669.7386,-1.179046544,-1.101744271,0.78992321,-2.026743612,-0.879402804,0.255826054,B_2022_62_C_2025,1763,19-Aug-25,15,10,3647.719057,0,0,0,0,0,0,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_62_C,-23.0013,31.47347,Vutivi_C_2025,B_2022_62_2025_C,2025,Vutivi_C,Shingwedzi,2022,NA,NA,male,Natural,adult,19-Aug-25,NA,control,Basalt,North,443.7607428,Mixed Combretum / Colophospermum mopane woodland,Dense-moderately dense C. mopane shrub savanna. Dominant grass:Themeda triandra,Flat & level plains related to LTIII erosion surface,LE04: Manyeleti,1669.7386,9244.009766,2769.776611,0,NA,NA,NA,NA,NA,NA,NA,2025-08-19T00:00:00Z,NA,2025-08-01T00:00:00Z,369.3038834,NA,NA,423.1605976,23.73787879,NA,NA,26.8375,NA,37.4,NA,dry,67,10,10,314.1592654,0.213267624,265.0748106,0,-9244.009766,-2769.776611,-1669.7386,-1.179046544,-1.101744271,0.78992321,-2.026743612,-0.879402804,0.255826054,B_2022_62_C_2025,1763,19-Aug-25,15,15,3647.719057,0,0,0,0,0,0,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_75,-23.0356,30.91466,Xidulu_2025,B_2022_75_2025,2025,Xidulu,Shangoni,2022,13-Aug-22,6-Aug-22,male,Natural,adult,11-Aug-25,1101,carcass,Granite,North,382.399147,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,508.4170685,3462.787598,5057.787598,0,yes,-23.03493,30.91491,NA,NA,NA,2022-08-06T00:00:00Z,2025-08-11T00:00:00Z,2022-08-01T00:00:00Z,2025-08-01T00:00:00Z,401.4586152,366.7219651,347.0202868,522.0948191,23.16161616,22.75454545,23.6,26.4,33.1,36.6,dry,dry,316,24,10,314.1592654,1.00585924,249.8807754,0.076961041,-3462.787598,-5057.787598,-508.4170685,-1.04176376,0.372375238,-0.643125404,0.120161623,-0.298088076,0.353363812,B_2022_75_2025,508,11-Aug-25,10,1,3647.719057,8.7,3.2,5,10,NA,0.08,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
