site,nickname,gender,age,lat,long,date_report,est_d_death,date_visit,age_days,transect,species,distance_m,browsed,notes,year_sampled,unique_id,y_obs,section,age_class,cause_death,soil_type,type,region,average_rainfall_mm,dist2road,dist2river,dist2aw,mass_bones,pellets_dung,elephant_dung,pat_dung,zebra_dung,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_precip_16_25,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,average_temp_16_24,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,ele_density_2017_buf,hyena_density_2015_idw
B_2022_37,Nhlanganini,Male,Adult,-23.86798,31.54196,2022-May-04,4/28/2022,8/17/2023,476,NE,Colophospermum_mopane,15,NA,dng,2023,B_2022_37_2023,2022,Letaba,adult,Natural,Basalt,carcass,Central,366.0817611,139.2737201,4837.447266,8105.197266,35.36,NA,2.87,NA,NA,411.3091843,464.5164974,457.9195652,416.4311916,23.40909091,23.73181818,24.00454545,23.71111111,34.8,34,dry,1.00585924,0.374042789
B_2023_32,Phugwane,Female,Adult,-23.05046,31.26916,2023-Apr-19,4/19/2023,8/9/2023,112,S,Colophospermum_mopane,15,9,dng,2023,B_2023_32_2023,2023,Shingwedzi,adult,Management,Granite,carcass,North,409.5510445,1374.971616,2226.422852,6070.612793,5.62,NA,7.27,NA,NA,415.0487573,206.4700146,407.1239786,433.9890018,23.55,23.85909091,23.93181818,23.65858586,34.8,34.8,dry,0.770309925,0.387662149
B_2023_31,Vutomi,Male,Adult,-24.70187,31.89956,2023-Apr-21,4/17/2023,9/5/2023,141,SW,Gymnosporia_senegalensis,15,0,dng,2023,B_2023_31_2023,2023,Tshokwane,adult,Natural,Basalt,carcass,Central,473.5326038,1853.167428,6184.555664,4709.125977,186.32,NA,12.9,NA,NA,893.5575585,571.4666023,901.5383568,642.4674722,22.41818182,22.56363636,22.80909091,22.5969697,32.3,32.3,dry,0.270563403,0.589239177
B_2023_7,Beautiful,Male,Adult,-25.07005,31.34907,2023-Jan-14,1/14/2023,7/28/2023,195,E,Dalbergia_melanoxylon,14.9,10,NA,2023,B_2023_7_2023,2023,Pretoriuskop,adult,Management,Granite,carcass,South,578.7707393,77.00154793,1727.896851,5030.979004,9.9,0.38,8.76,0.46,0.6,575.9107504,800.1718283,854.7009468,640.8972425,21.95,22.05909091,22.21363636,22.06060606,32,31.7,late_wet,0.751211331,0.42696821
B_2022_33,Msinya,Male,Sub Adult,-23.06978,30.91227,2023-Apr-04,4/9/2022,8/10/2023,488,W,Colophospermum_mopane,14.9,0,dng,2023,B_2022_33_2023,2022,Shangoni,sub-adult,Poached,Granite,carcass,North,371.9511807,1089.562752,2585.275391,6672.101074,122.84,NA,1.04,NA,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.353323974,0.354058543
B_2022_31,Bububu,Male,Adult,-23.07579,30.91659,2023-Apr-05,4/10/2022,8/10/2023,487,NW,Colophospermum_mopane,14.8,0,stem damage by elephants,2023,B_2022_31_2023,2022,Shangoni,adult,Poached,Granite,carcass,North,379.1720883,1199.898649,2460.64209,6797.304199,39.75,NA,2.55,0.05,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.073211274,0.351075808
B_2023_8,Daga,Female,Adult,-23.03274,31.36065,2023-Jan-20,1/17/2023,8/8/2023,203,W,Colophospermum_mopane,14.8,8,dng,2023,B_2023_8_2023,2023,Vlakteplaas,adult,Natural,Basalt,carcass,North,392.7141317,396.9509186,3050.477783,2479.92749,19.23,0.08,48.47,0.09,NA,289.6736453,270.1842053,346.3965981,377.6306918,23.95454545,23.96363636,24.17272727,23.92121212,35.5,35.5,late_wet,0.958112757,0.120617115
B_2023_66,Machalolo,Female,Adult,-23.81538,31.49549,2023-Jul-16,7/16/2023,8/17/2023,32,SE,Colophospermum_mopane,14.8,8,NA,2023,B_2023_66_2023,2023,Letaba,adult,Management,Basalt,carcass,Central,365.0032478,1200.249433,4883.600586,7517.097656,1.43,0.03,2.11,0.08,NA,473.4461799,275.8268936,473.8705871,426.8250235,23.72727273,23.7,23.69090909,23.37676768,33.6,33.6,dry,1.177746579,0.411476575
B_2022_33,Msinya,Male,Sub Adult,-23.06978,30.91227,2023-Apr-04,4/9/2022,8/10/2023,488,NW,Colophospermum_mopane,14.8,0,dng,2023,B_2022_33_2023,2022,Shangoni,sub-adult,Poached,Granite,carcass,North,371.9511807,1089.562752,2585.275391,6672.101074,122.84,NA,1.04,NA,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.353323974,0.354058543
B_2022_33,Msinya,Male,Sub Adult,-23.06978,30.91227,2023-Apr-04,4/9/2022,8/10/2023,488,S,Colophospermum_mopane,14.8,NA,dng,2023,B_2022_33_2023,2022,Shangoni,sub-adult,Poached,Granite,carcass,North,371.9511807,1089.562752,2585.275391,6672.101074,122.84,NA,1.04,NA,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.353323974,0.354058543
