site,nickname,section,lat,long,dis.road.m,soil_type,y_obs,d_obs,est_d_death,cause_death,sex,age_class,date_visit,age_days,type,full_partial,direction,distance,weight,nickname_distance_direction,mean_realArea,mean_realPerimeter,mean_dgciOriginal,mean_dgciCorrected,n_realArea,n_realPerimeter,n_dgciOriginal,n_dgciCorrected,n_leaves_total,n_area_used,total_area_cm2_est,SLA_cm2_g,SLA_valid,SLA_m2_kg,unique_id,dist2road,dist2river,dist2aw,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_density_2017_buf,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,E,2.5,7.25,Masorini_2.5_E,38.13555463,38.62250748,0.501186485,0.211366915,10,10,10,10,10,10,381.3555463,52.600765,TRUE,5.2600765,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,W,15,6.84,Masorini_15_W,40.21844362,37.46797109,0.284762069,-0.002491601,9,9,9,9,9,9,361.9659926,52.91900476,TRUE,5.291900476,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,N,5,8.3,Masorini_5_N,55.67352616,43.3304016,0.352025284,0.018119308,8,8,8,8,8,8,445.3882093,53.66123003,TRUE,5.366123003,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,E,15,6.01,Bububu_15_E,32.29160196,33.19504991,0.418863259,0.196380005,10,10,10,10,10,10,322.9160196,53.72978696,TRUE,5.372978696,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2021_49,Ntshivana,Mooiplaas,-23.32766,31.5426,169,Granite,2021,10-Jul-21,7-Jul-21,Natural,female,adult,14-Aug-25,1499,carcass,partial,N,17.5,5.93,Ntshivana_17.5_N,32.28864132,32.34977918,0.423046344,-0.049005217,10,10,10,10,10,10,322.8864132,54.44964809,TRUE,5.444964809,B_2021_49_2025,168.9993396,8214.838867,2959.027832,416.8094176,536.7172086,445.9968957,431.1295652,23.77171717,23.22272727,23.34545455,26.95,34.2,37.3,dry,dry,1.059971921,0.62,4.833333333,17,1,0.06,1.9,NA,0.18,NA,NA,NA,NA
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,S,15,4.1,Masorini_15_S,22.33456992,29.24466394,0.430312756,-3.506995393,10,10,10,10,10,10,223.3456992,54.47456077,TRUE,5.447456077,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2023_66,Machalolo,Letaba,-23.81536,31.49551,1200,Basalt,2023,16-Jul-23,16-Jul-23,Management,female,adult,6-Aug-25,752,carcass,partial,W,10,6.9,Machalolo_10_W,37.62220323,39.07287346,0.315319703,0.063593346,10,10,10,10,10,10,376.2220323,54.52493222,TRUE,5.452493222,B_2023_66_2025,1200.249433,4883.600586,7517.097656,426.8250235,473.4461799,275.8268936,383.5587597,23.37676768,23.72727273,23.7,26.475,33.6,36.7,dry,dry,1.177746579,0.34,5,70,0,0.06,0.08,NA,0.08,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,E,23.7,7.49,Bububu_23.7_E,40.95315849,37.58683542,0.314818176,-0.026489423,10,10,10,10,10,10,409.5315849,54.67711414,TRUE,5.467711414,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,W,10,5.68,Masorini_10_W,31.08455851,33.40696641,0.476911588,0.234463882,10,10,10,10,10,10,310.8455851,54.72633541,TRUE,5.472633541,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,S,15,7.19,Bububu_15_S,39.48245169,34.82044739,0.414332575,0.032779185,10,10,9,9,10,10,394.8245169,54.91300652,TRUE,5.491300652,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
